ANALISI ROI - ANDRIANI INTELLIGENCE PLATFORM
,,,
,,,
SITUAZIONE ATTUALE,,
Tempo speso per ricerca news (ore/giorno),2.5,
Giorni lavorativi all'anno,250,
Ore totali all'anno,625,
Costo orario (€/ora),100,
Costo opportunità attuale (€/anno),62500,
Rischi evitati (€/anno),35000,
Valore decisioni migliori (€/anno),30000,
TOTALE COSTO ATTUALE (€/anno),127500,
,,
CON PIATTAFORMA,,
Tempo speso per ricerca news (ore/giorno),0.08,
Giorni lavorativi all'anno,250,
Ore totali all'anno,20,
Costo orario (€/ora),100,
Costo opportunità con piattaforma (€/anno),2000,
Costo piattaforma (€/anno),11196,
TOTALE COSTO CON PIATTAFORMA (€/anno),13196,
,,
RISPARMIO NETTO,,
Risparmio annuo (€),114304,
ROI (%),904,
Payback (mesi),1.2,
,,
INVESTIMENTO DETTAGLIATO,,
Sviluppo Fase 1 (€),6000,
Costo operativo mensile (€),433,
Costo operativo annuo (€),5196,
TOTALE ANNO 1 (€),11196,
,,
VALORE CREATO,,
Tempo risparmiato (€/anno),60500,
Rischi evitati (€/anno),35000,
Decisioni migliori (€/anno),30000,
TOTALE VALORE (€/anno),125500,
,,
SCENARI ALTERNATIVI,,
Scenario 1 - Solo 2 ore/giorno,,
Tempo attuale (ore/giorno),2,
Costo opportunità (€/anno),50000,
Risparmio (€/anno),48000,
ROI (%),429,
,,
Scenario 2 - Costo orario €50,,
Costo orario (€/ora),50,
Costo opportunità attuale (€/anno),31250,
Risparmio (€/anno),18250,
ROI (%),163,
,,
Scenario 3 - Solo 200 giorni/anno,,
Giorni lavorativi,200,
Costo opportunità attuale (€/anno),50000,
Risparmio (€/anno),38800,
ROI (%),347,
,,
SENSITIVITY ANALYSIS,,
Variazione tempo (%),-20%,-10%,0%,10%,20%
Tempo ore/giorno,2,2.25,2.5,2.75,3
ROI (%),724,814,904,994,1084
,,
Variazione costo orario (%),-20%,-10%,0%,10%,20%
Costo €/ora,80,90,100,110,120
ROI (%),724,814,904,994,1084
,,
CONCLUSIONI,,
ROI minimo (scenario conservativo),163%,
ROI massimo (scenario ottimistico),1084%,
ROI medio (scenario realistico),904%,
Payback massimo (mesi),7.4,
Payback minimo (mesi),1.1,
,,
RACCOMANDAZIONE,,
Investimento consigliato (€),6000,
Timeline payback (mesi),1.2,
Valore 3 anni (€),376912,
ROI 3 anni (%),6282%,
